anio,premio,jugador_id,seleccion_id
2022,Balón de Oro,1,5
2022,Balón de Plata,3,37
2022,Balón de Bronce,7,24
2022,Botín de Oro,3,37
2022,Botín de Plata,1,5
2022,Botín de Bronce,11,37
2022,Guante de Oro,1601,5
2022,Mejor Jugador Joven,91,5
2018,Balón de Oro,7,24
2018,Balón de Plata,199,12
2018,Balón de Bronce,40,37
2018,Botín de Oro,22,46
2018,Botín de Plata,40,37
2018,Botín de Bronce,180,12
2018,Guante de Oro,2859,12
2018,Mejor Jugador Joven,3,37
2014,Balón de Oro,1,5
2014,Balón de Plata,16,1
2014,Balón de Bronce,264,121
2014,Botín de Oro,19,19
2014,Botín de Plata,16,1
2014,Botín de Bronce,12,10
2014,Guante de Oro,2860,1
2014,Mejor Jugador Joven,258,37
2010,Balón de Oro,50,141
2010,Balón de Plata,333,121
2010,Balón de Bronce,317,35
2010,Botín de Oro,16,1
2010,Botín de Plata,317,35
2010,Botín de Bronce,333,121
2010,Guante de Oro,1716,35
2010,Mejor Jugador Joven,16,1
2006,Balón de Oro,33,37
2006,Balón de Plata,1898,53
2006,Balón de Bronce,427,53
2006,Botín de Oro,6,1
2006,Botín de Plata,421,5
2006,Botín de Bronce,4,10
2006,Guante de Oro,28,53
2006,Mejor Jugador Joven,349,1
2002,Balón de Oro,2184,1
2002,Balón de Plata,4,10
2002,Balón de Bronce,683,21
2002,Botín de Oro,4,10
2002,Guante de Oro,2184,1
2002,Mejor Jugador Joven,367,36
1998,Balón de Oro,4,10
1998,Balón de Plata,610,24
1998,Balón de Bronce,679,37
1998,Botín de Oro,610,24
1998,Guante de Oro,2861,37
1998,Mejor Jugador Joven,579,46
1994,Balón de Oro,696,10
1994,Balón de Plata,597,53
1994,Balón de Bronce,719,11
1994,Botín de Oro,713,130
1994,Guante de Oro,2862,12
1994,Mejor Jugador Joven,627,121
1990,Balón de Oro,748,53
1990,Balón de Plata,23,1
1990,Balón de Bronce,9,5
1990,Botín de Oro,748,53
1990,Mejor Jugador Joven,609,143
1986,Balón de Oro,9,5
1986,Balón de Plata,2863,1
1986,Balón de Bronce,827,27
1986,Botín de Oro,759,46
1986,Mejor Jugador Joven,775,12
1982,Balón de Oro,955,53
1982,Balón de Plata,908,10
1982,Balón de Bronce,876,1
1982,Botín de Oro,955,53
1982,Mejor Jugador Joven,874,37
1978,Botín de Oro,32,5
1978,Mejor Jugador Joven,946,53
1974,Botín de Oro,930,125
1974,Mejor Jugador Joven,2679,125
1970,Botín de Oro,38,1
1970,Mejor Jugador Joven,974,124
1966,Botín de Oro,21,126
1966,Mejor Jugador Joven,1088,1
1962,Botín de Oro,1153,43
1962,Mejor Jugador Joven,1153,43
1958,Botín de Oro,25,37
1958,Mejor Jugador Joven,8,10
1954,Botín de Oro,1251,43
1950,Botín de Oro,1298,10
1938,Botín de Oro,1347,10
1934,Botín de Oro,1357,128
1930,Botín de Oro,1437,5
