partido_id,anio,fecha,etapa,local_seleccion_id,visitante_seleccion_id,goles_local,goles_visitante,tiempo_extra,definicion_penales,penales_local,penales_visitante
1,2022,20-Nov-2022,"1ra Ronda, Grupo A",16,28,0,2,False,False,,
2,2022,21-Nov-2022,"1ra Ronda, Grupo B",46,50,6,2,False,False,,
3,2022,21-Nov-2022,"1ra Ronda, Grupo A",131,121,0,2,False,False,,
4,2022,21-Nov-2022,"1ra Ronda, Grupo B",36,38,1,1,False,False,,
5,2022,22-Nov-2022,"1ra Ronda, Grupo C",5,3,1,2,False,False,,
6,2022,22-Nov-2022,"1ra Ronda, Grupo D",27,139,0,0,False,False,,
7,2022,22-Nov-2022,"1ra Ronda, Grupo C",117,125,0,0,False,False,,
8,2022,22-Nov-2022,"1ra Ronda, Grupo D",37,6,4,1,False,False,,
9,2022,23-Nov-2022,"1ra Ronda, Grupo F",58,24,0,0,False,False,,
10,2022,23-Nov-2022,"1ra Ronda, Grupo E",1,55,1,2,False,False,,
11,2022,23-Nov-2022,"1ra Ronda, Grupo E",35,22,7,0,False,False,,
12,2022,23-Nov-2022,"1ra Ronda, Grupo F",12,15,1,0,False,False,,
13,2022,24-Nov-2022,"1ra Ronda, Grupo G",135,14,1,0,False,False,,
14,2022,24-Nov-2022,"1ra Ronda, Grupo H",141,21,0,0,False,False,,
15,2022,24-Nov-2022,"1ra Ronda, Grupo H",126,39,3,2,False,False,,
16,2022,24-Nov-2022,"1ra Ronda, Grupo G",10,132,2,0,False,False,,
17,2022,25-Nov-2022,"1ra Ronda, Grupo B",38,50,0,2,False,False,,
18,2022,25-Nov-2022,"1ra Ronda, Grupo A",16,131,1,3,False,False,,
19,2022,25-Nov-2022,"1ra Ronda, Grupo A",121,28,1,1,False,False,,
20,2022,25-Nov-2022,"1ra Ronda, Grupo B",46,36,0,0,False,False,,
21,2022,26-Nov-2022,"1ra Ronda, Grupo D",139,6,0,1,False,False,,
22,2022,26-Nov-2022,"1ra Ronda, Grupo C",125,3,2,0,False,False,,
23,2022,26-Nov-2022,"1ra Ronda, Grupo D",37,27,2,1,False,False,,
24,2022,26-Nov-2022,"1ra Ronda, Grupo C",5,117,2,0,False,False,,
25,2022,27-Nov-2022,"1ra Ronda, Grupo E",55,22,0,1,False,False,,
26,2022,27-Nov-2022,"1ra Ronda, Grupo F",12,58,0,2,False,False,,
27,2022,27-Nov-2022,"1ra Ronda, Grupo F",24,15,4,1,False,False,,
28,2022,27-Nov-2022,"1ra Ronda, Grupo E",35,1,1,1,False,False,,
