anio,seleccion_id,entrenador_id
2022,1,1
2022,3,2
2022,5,3
2022,6,4
2022,12,5
2022,10,6
2022,14,7
2022,15,8
2022,16,9
2022,21,10
2022,22,11
2022,24,12
2022,27,13
2022,28,14
2022,35,15
2022,36,16
2022,37,17
2022,38,18
2022,39,19
2022,46,20
2022,50,21
2022,55,22
2022,58,23
2022,59,24
2022,63,25
2022,67,26
2022,68,27
2022,73,28
2022,74,29
2022,77,30
2022,81,31
2022,83,32
2018,1,33
2018,3,34
2018,5,35
2018,6,36
2018,12,5
2018,10,6
2018,19,37
2018,21,38
2018,22,39
2018,24,12
2018,27,40
2018,29,41
2018,35,42
2018,37,17
2018,46,20
2018,50,21
2018,51,43
2018,55,44
2018,58,2
2018,59,45
2018,60,46
2018,64,47
2018,66,48
2018,67,49
2018,68,27
2018,72,50
2018,73,28
2018,74,51
2018,76,52
2018,77,53
2018,81,54
2018,83,55
2014,1,33
2014,4,56
2014,5,57
2014,6,58
2014,12,59
2014,9,60
2014,10,61
2014,14,62
2014,17,35
2014,19,37
2014,21,63
2014,23,64
2014,22,65
2014,24,66
2014,28,67
2014,35,68
2014,36,69
2014,37,17
2014,39,70
2014,40,27
2014,42,11
2014,46,71
2014,50,21
2014,53,72
2014,55,73
2014,59,74
2014,60,75
2014,63,25
2014,68,10
2014,72,76
2014,77,77
2014,83,55
2010,1,33
2010,4,78
2010,5,79
2010,6,80
2010,10,81
2010,14,82
2010,17,83
2010,20,84
2010,21,85
2010,23,86
2010,27,87
2010,33,88
2010,34,89
2010,35,68
2010,36,90
2010,37,91
2010,39,92
2010,40,93
2010,42,67
2010,46,76
2010,53,94
2010,55,95
2010,59,96
2010,60,97
2010,62,98
2010,63,36
2010,65,24
2010,68,21
2010,74,99
2010,75,100
2010,77,77
2010,83,55
2006,1,69
2006,2,101
2006,3,102
2006,5,37
2006,6,103
2006,10,100
2006,21,104
2006,23,105
2006,22,106
2006,24,107
2006,28,11
2006,35,108
2006,36,109
2006,37,91
2006,39,110
2006,46,86
2006,50,111
2006,53,94
2006,55,112
2006,59,113
2006,63,114
2006,65,115
2006,67,116
2006,68,61
2006,70,117
2006,74,118
2006,76,97
2006,77,119
2006,78,120
2006,79,121
2006,81,122
2006,82,123
2002,1,124
2002,3,125
2002,5,83
2002,12,126
2002,10,61
2002,14,127
2002,18,128
2002,21,103
2002,22,106
2002,24,129
2002,27,87
2002,28,47
2002,34,130
2002,35,131
2002,36,109
2002,37,122
2002,46,86
2002,48,132
2002,53,133
2002,55,134
2002,59,96
2002,60,135
2002,65,136
2002,67,137
2002,68,138
2002,72,139
2002,73,140
2002,75,141
2002,76,142
2002,81,143
2002,80,144
2002,83,145
1998,1,146
1998,3,147
1998,5,148
1998,7,149
1998,12,150
1998,10,151
1998,11,152
1998,14,153
1998,17,154
1998,19,47
1998,21,155
1998,24,156
1998,27,157
1998,32,158
1998,35,159
1998,36,160
1998,37,161
1998,46,162
1998,50,163
1998,53,136
1998,54,164
1998,55,95
1998,58,105
1998,59,165
1998,60,128
1998,61,166
1998,63,103
1998,65,167
1998,74,168
1998,71,169
1998,75,134
1998,81,170
1994,1,146
1994,3,171
1994,5,172
1994,12,173
1994,8,174
1994,10,100
1994,11,175
1994,14,105
1994,19,176
1994,21,177
1994,35,159
1994,36,128
1994,40,178
1994,48,179
1994,53,180
1994,58,181
1994,59,182
1994,60,183
1994,61,166
1994,63,104
1994,71,169
1994,72,184
1994,76,185
1994,77,71
1990,1,186
1990,5,187
1990,7,188
1990,12,189
1990,10,190
1990,14,191
1990,70,192
1990,19,176
1990,21,193
1990,22,128
1990,29,194
1990,31,100
1990,32,195
1990,35,196
1990,36,197
1990,46,198
1990,48,179
1990,53,199
1990,63,121
1990,71,200
1990,76,201
1990,72,202
1990,83,55
1990,85,203
1986,1,186
1986,4,78
1986,5,187
1986,12,189
1986,10,204
1986,11,205
1986,15,206
1986,21,207
1986,27,208
1986,32,209
1986,35,210
1986,37,105
1986,43,211
1986,46,198
1986,47,212
1986,49,213
1986,53,214
1986,58,215
1986,59,128
1986,65,216
1986,67,217
1986,68,218
1986,72,202
1986,83,219
1982,1,220
1982,4,221
1982,5,222
1982,7,223
1982,12,189
1982,10,204
1982,14,224
1982,70,192
1982,17,225
1982,30,226
1982,32,227
1982,35,228
1982,37,229
1982,42,230
1982,43,231
1982,46,232
1982,49,213
1982,53,214
1982,57,100
1982,62,233
1982,66,234
