jugador_id,nombre,nombre_completo,fecha_nacimiento,lugar_nacimiento,altura,apodo,sitio_web,redes_sociales
1,Lionel Messi,Lionel Andrés Messi,24 de junio de 1987,"Rosario, Santa Fe, Argentina","1.70 m / 5' 7""","La Pulga, Leo, Lio",http://messi.com,Instagram: @leomessi / Facebook: @leomessi / YouTube: LeoMessi
2,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,5 de febrero de 1985,"Funchal, Madeira, Portugal","1.87 m / 6' 2""","CR7, el deseado, el bicho",http://www.cristianoronaldo.com,Twitter: @Cristiano / Instagram: @cristiano / Facebook: @Cristiano
3,Kylian Mbappé,Kylian Mbappé Lottin,20 de diciembre de 1998,"París, Francia","1.78 m / 5' 10""",,http://kylianmbappe.com,Twitter: @KMbappe
4,Ronaldo,Ronaldo Luís Nazário de Lima,22 de septiembre de 1976,"Rio de Janeiro , Río de Janeiro , Brasil","1.83 m / 6' 0""","Il Fenomeno, R9",,Twitter: @ClaroRonaldo
5,Robert Lewandowski,Robert Lewandowski,21 de agosto de 1988,"Varsovia, Polonia","1.85 m / 6' 1""",Lewy,,Twitter: @lewy_official
6,Miroslav Klose,Mirosław Marian Klose,9 de junio de 1978,"Opole, Polonia","1.84 m / 6' 0""",El bombardero alemán,http://miroslavklose.de,
7,Luka Modric,Luka Modrić,9 de septiembre de 1985,"Zadar, Croacia","1.72 m / 5' 8""","'El Cruyff de los Balcanes', 'Vinagre'",,Twitter: @lukamodric10 / Instagram: @lukamodric10 / Facebook: @ModricLuka10
8,Pelé,Edson Arantes do Nascimento,23 de octubre de 1940,"Três Corações, Minas Gerais, Brasil","1.73 m / 5' 8""","Pelé, El Rey, O Rei, La Perla Negra",,Twitter: @Pele
9,Diego Maradona,Diego Armando Maradona,30 de octubre de 1960,"Lanús, Buenos Aires, Argentina","1.65 m / 5' 4""","El Diez, Pelusa, El Pibe de Oro",http://www.diegomaradona.com,
10,Dani Alves,Daniel Alves da Silva,6 de mayo de 1983,"Juazeiro, Bahía, Brasil","1.72 m / 5' 8""",,,Twitter: @DaniAlvesD2 / Instagram: @danialves / Facebook: @DaniAlvesD2 / TikTok: @danialves
11,Olivier Giroud,Olivier Jonathan Giroud,30 de septiembre de 1986,"Chambéry, Francia","1.93 m / 6' 4""",,,Twitter: @_OlivierGiroud_ / Instagram: @oliviergiroud / Facebook: @100044466338082 / TikTok: @oliviergiroud
12,Neymar Jr.,Neymar da Silva Santos Júnior,5 de febrero de 1992,"Mogi das Cruzes, San Pablo, Brasil","1.75 m / 5' 9""",,http://www.neymaroficial.com,Twitter: @Njr92
13,Ronaldinho,Ronaldo de Assis Moreira,21 de marzo de 1980,"Porto Alegre, Río Grande del Sur, Brasil","1.83 m / 6' 0""","Ronaldinho,El Brujo de Porto Alegre, Ronaldinho Gaúcho",,Twitter: @10Ronaldinho
14,Karim Benzema,Karim Mostafa Benzema,19 de diciembre de 1987,"Lyon, Francia","1.85 m / 6' 1""",,,Twitter: @Benzema / Instagram: @karimbenzema / Facebook: @KarimBenzema / YouTube: KarimBenzema
15,Gabriel Batistuta,Gabriel Omar Batistuta,1 de febrero de 1969,"Reconquista, Santa Fe, Argentina","1.85 m / 6' 0""","el Bati, el Batigol",http://www.batistuta.com,Twitter: @GBatistutaOK
16,Thomas Müller,Thomas Müller,13 de septiembre de 1989,,"1.85 m / 6' 1""",,,
17,Paulo Dybala,Paulo Exequiel Dybala,15 de noviembre de 1993,"Laguna Larga, Córdoba, Argentina","1.77 m / 5' 10""",La Joya,http://paulodybala21.com,Twitter: @PauDybala_JR
18,Enner Valencia,,4 de noviembre de 1989,,"1.77 m / 5' 10""",,,
19,James Rodríguez,James David Rodríguez Rubio,12 de julio de 1991,"Cúcuta, Colombia","1.80 m / 5' 11""",,,
20,Nicolas Otamendi,Nicolás Hernán Gonzalo Otamendi,12 de febrero de 1988,,"1.83 m / 6' 0""",,,
21,Eusebio,,25 de enero de 1942,,,,,
