anio,seleccion_id,entrenador_id
2022,5,1
2022,37,2
2018,5,3
2018,29,4
2018,37,2
2018,72,5
2018,83,6
2014,1,7
2014,5,8
2014,10,9
2014,14,10
2014,24,11
2014,59,12
2010,1,7
2010,5,13
2010,37,14
2010,59,15
2010,75,16
2010,83,6
2006,1,17
2006,5,18
2006,10,16
2006,22,19
2006,28,20
2006,67,21
2002,1,22
2002,10,9
2002,27,23
2002,37,24
2002,73,25
2002,83,26
1998,1,27
1998,10,28
1998,32,29
1998,58,30
1998,61,31
1994,1,27
1994,10,16
1994,19,32
1994,36,33
1994,71,34
1994,77,35
1990,1,36
1990,7,37
1990,70,38
1990,36,39
1990,53,40
1982,14,41
1982,53,42
1982,66,43
1982,67,44
1978,5,45
1978,37,46
1978,43,47
1978,53,42
1970,1,48
1970,12,49
1970,10,28
1970,30,50
1970,59,51
1970,72,52
1966,10,53
1966,37,54
1966,59,55
1966,83,56
1962,10,57
1962,19,58
1962,72,52
1962,83,59
1962,85,60
1958,1,61
1958,5,62
1958,10,53
1958,70,63
1958,37,64
1958,49,65
1954,10,66
1954,37,67
1954,59,55
1954,85,68
1950,10,69
1950,59,70
1950,77,71
1950,85,72
