gol_id,partido_id,seleccion_id,jugador_id,minuto,es_penal,es_autogol
1,1,28,16,16,True,False
2,1,28,16,31,False,False
3,2,46,41,35,False,False
4,2,46,42,43,False,False
5,2,46,43,45+1,False,False
6,2,46,42,62,False,False
7,2,50,44,65,False,False
8,2,46,45,71,False,False
9,2,46,46,90,False,False
10,2,50,44,90+13,True,False
11,3,115,47,84,False,False
12,3,115,48,90+9,False,False
13,4,36,49,36,False,False
14,4,38,50,82,True,False
15,5,5,1,10,True,False
16,5,3,51,48,False,False
17,5,3,52,53,False,False
18,8,6,53,9,False,False
19,8,37,54,27,False,False
20,8,37,11,32,False,False
21,8,37,3,68,False,False
22,8,37,11,71,False,False
23,10,1,55,33,True,False
24,10,55,56,75,False,False
25,10,55,57,83,False,False
26,11,35,58,11,False,False
27,11,35,59,21,False,False
28,11,35,60,31,True,False
29,11,35,60,54,False,False
30,11,35,61,74,False,False
31,11,35,62,90,False,False
32,11,35,63,90+2,False,False
33,12,12,64,44,False,False
34,13,129,65,48,False,False
35,15,120,2,65,True,False
36,15,39,66,73,False,False
37,15,120,67,78,False,False
38,15,120,68,80,False,False
39,15,39,69,89,False,False
40,16,10,70,62,False,False
41,16,10,70,73,False,False
42,17,50,71,90+8,False,False
43,17,50,72,90+11,False,False
44,18,125,73,41,False,False
45,18,125,74,48,False,False
46,18,16,75,78,False,False
47,18,125,76,84,False,False
48,19,115,47,6,False,False
49,19,28,16,49,False,False
50,21,6,77,23,False,False
51,22,119,78,39,False,False
52,22,119,5,82,False,False
53,23,37,3,61,False,False
54,23,27,79,68,False,False
55,23,37,3,86,False,False
56,24,5,1,64,False,False
57,24,5,80,87,False,False
58,25,22,81,81,False,False
59,26,58,82,73,False,False
60,26,58,83,90+2,False,False
61,27,15,84,2,False,False
62,27,24,85,36,False,False
63,27,24,86,44,False,False
64,27,24,85,70,False,False
65,27,24,87,90+4,False,False
66,28,35,63,62,False,False
67,28,1,88,83,False,False
68,29,14,89,29,False,False
69,29,126,90,45+1,False,False
70,29,126,91,45+3,False,False
71,29,126,92,53,False,False
72,29,14,93,63,False,False
73,29,14,94,66,False,False
